Run,Surface,Tile,Tile_38,Average_A,Stdv_A,Average_0,Stdv_0,Average_2,Stdv_2,Average_3,Stdv_3,Average_4,Stdv_4,Average_5,Stdv_5,Average_1,Stdv_1
180409_M05945_0002_000000000-BMMFJ_SubTile%PF.csv,Top,1,1,59,41.817061908587824,0,0.0,86,5.358991777092125,89,3.6888591401448094,89,3.397048841038699,93,0.8746725443018922,84,6.184408911144776
180409_M05945_0002_000000000-BMMFJ_SubTile%PF.csv,Top,2,2,57,41.023028762987366,7,23.86082234490686,85,5.362062539512253,88,3.5303893317903627,88,3.6683920989605205,93,0.9609863651605287,83,6.503138421396731
180409_M05945_0002_000000000-BMMFJ_SubTile%PF.csv,Top,3,3,58,41.21488404286329,6,19.26114574829831,84,5.958935838195536,87,4.653420353638205,87,3.9823946885788835,93,1.1129103685635762,82,6.839929567498498
180409_M05945_0002_000000000-BMMFJ_SubTile%PF.csv,Top,4,4,57,41.023028762987366,9,28.747978728803446,84,5.782049702781194,87,4.251361437713109,87,4.344111160542273,93,0.9647475786174157,82,6.742978871415559
180409_M05945_0002_000000000-BMMFJ_SubTile%PF.csv,Top,5,5,57,40.74582459862878,0,0.0,84,6.535961510515573,87,3.9879791940437954,87,4.251870455089608,93,0.8642594047485063,82,7.068351379271582
180409_M05945_0002_000000000-BMMFJ_SubTile%PF.csv,Top,6,6,58,41.21488404286329,9,28.747978728803446,86,5.152010275275392,89,3.6447154370792725,88,3.5570165678423997,93,0.9041927387606712,84,6.051448374962993
180409_M05945_0002_000000000-BMMFJ_SubTile%PF.csv,Top,7,7,59,41.88078318274385,7,23.86082234490686,86,4.916588197741686,89,3.413038824743192,89,3.46346100457007,94,0.8462630553766529,84,5.8593482223896585
180409_M05945_0002_000000000-BMMFJ_SubTile%PF.csv,Top,8,8,58,41.61196409153929,0,0.0,86,5.378920396928025,89,3.6190321482388463,89,3.591574624593462,93,0.7943895618125306,85,5.593205754956986
180409_M05945_0002_000000000-BMMFJ_SubTile%PF.csv,Top,9,9,57,40.65300316909769,4,14.373989364401723,83,6.124228346453632,86,4.559919620016902,87,4.3969125800596025,93,0.9661542587015087,81,7.159557197149784
180409_M05945_0002_000000000-BMMFJ_SubTile%PF.csv,Top,10,10,59,42.08193066969348,8,26.160660643211138,86,5.075831001585153,89,3.413038824743192,89,3.530299952054965,93,0.8626865928814168,85,5.850210740344931
180409_M05945_0002_000000000-BMMFJ_SubTile%PF.csv,Top,11,11,59,41.88078318274385,9,28.747978728803446,86,5.390384163175367,89,3.4999510088673924,88,3.502535007575219,93,0.9670909087117884,84,5.902499993463745
180409_M05945_0002_000000000-BMMFJ_SubTile%PF.csv,Top,12,12,58,41.41121694527811,15,34.16658267812025,85,5.3873295440238484,88,4.281584004923978,88,3.8747017445820853,93,0.801763560911352,83,6.587388707696136
